Running 30s test @ http://192.168.1.74:8080/wrk2-api/post/compose
  1 threads and 1 connections
  Thread calibration: mean lat.: 15.208ms, rate sampling interval: 65ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency    21.15ms   21.42ms 103.42ms   86.52%
    Req/Sec   348.49     46.64   406.00     70.68%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   13.26ms
 75.000%   27.47ms
 90.000%   49.60ms
 99.000%  103.42ms
 99.900%  125.12ms
 99.990%  129.09ms
 99.999%  130.30ms
100.000%  130.30ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       2.317     0.000000            1         1.00
       3.325     0.100000          693         1.11
       5.327     0.200000         1388         1.25
       7.675     0.300000         2078         1.43
      10.135     0.400000         2769         1.67
      13.263     0.500000         3461         2.00
      15.543     0.550000         3808         2.22
      18.303     0.600000         4155         2.50
      21.071     0.650000         4502         2.86
      23.999     0.700000         4846         3.33
      27.471     0.750000         5192         4.00
      29.775     0.775000         5365         4.44
      32.415     0.800000         5538         5.00
      36.063     0.825000         5711         5.71
      39.807     0.850000         5885         6.67
      44.671     0.875000         6057         8.00
      46.623     0.887500         6147         8.89
      49.599     0.900000         6231        10.00
      52.351     0.912500         6317        11.43
      55.967     0.925000         6403        13.33
      60.351     0.937500         6490        16.00
      65.983     0.943750         6533        17.78
      71.039     0.950000         6576        20.00
      73.343     0.956250         6621        22.86
      75.583     0.962500         6663        26.67
      78.335     0.968750         6706        32.00
      80.639     0.971875         6728        35.56
      82.047     0.975000         6749        40.00
      85.631     0.978125         6771        45.71
      89.343     0.981250         6793        53.33
      93.375     0.984375         6814        64.00
      97.535     0.985938         6825        71.11
     100.095     0.987500         6836        80.00
     102.527     0.989062         6847        91.43
     104.447     0.990625         6859       106.67
     106.047     0.992188         6869       128.00
     106.559     0.992969         6875       142.22
     108.543     0.993750         6879       160.00
     111.039     0.994531         6885       182.86
     113.279     0.995313         6890       213.33
     114.879     0.996094         6895       256.00
     116.159     0.996484         6898       284.44
     117.631     0.996875         6901       320.00
     119.807     0.997266         6905       365.71
     119.935     0.997656         6906       426.67
     122.431     0.998047         6909       512.00
     122.879     0.998242         6910       568.89
     124.031     0.998437         6912       640.00
     124.095     0.998633         6913       731.43
     124.735     0.998828         6914       853.33
     126.207     0.999023         6916      1024.00
     126.207     0.999121         6916      1137.78
     126.399     0.999219         6917      1280.00
     126.655     0.999316         6918      1462.86
     126.655     0.999414         6918      1706.67
     127.551     0.999512         6919      2048.00
     127.551     0.999561         6919      2275.56
     128.767     0.999609         6920      2560.00
     128.767     0.999658         6920      2925.71
     128.767     0.999707         6920      3413.33
     129.087     0.999756         6921      4096.00
     129.087     0.999780         6921      4551.11
     129.087     0.999805         6921      5120.00
     129.087     0.999829         6921      5851.43
     129.087     0.999854         6921      6826.67
     130.303     0.999878         6922      8192.00
     130.303     1.000000         6922          inf
#[Mean    =       21.152, StdDeviation   =       21.424]
#[Max     =      130.240, Total count    =         6922]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  10413 requests in 30.00s, 2.14MB read
Requests/sec:    347.10
Transfer/sec:     72.88KB
